id,name,url,Année,Boite de vitesses,Carburant,Carrosserie,Couleur,Date,Importé neuf,Kilométrage,Nombre de portes,Première main,Puissance fiscale,Voiture personnalisée (tuning),Véhicule dédouané,Véhicule en garantie
449312,Gmc Yukon ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/449312/gmc-yukon-.html,2024,Automatique,Essence,,Noir,11-04-2025,Oui,227,,,,,,
390753,Mercedes Benz Classe E 220D,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/390753/mercedes-benz-classe-e-220d.html,2022,Automatique,Diesel,Cabriolet,Noir,11-04-2025,Oui,,3,,,,,24 Mois
428231,Audi Q8 S Line Importee Neuve,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/428231/audi-q8-s-line-importee-neuve.html,2024,Automatique,Diesel,Suv et 4x4,Gris,11-04-2025,Oui,,,,,,,
461088,Audi Q8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/461088/audi-q8-.html,2019,Automatique,Hybride,,,11-04-2025,Oui,94 000,5,Oui,12,,2019,
461090,Audi A8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/461090/audi-a8-.html,2018,Automatique,Diesel,,,11-04-2025,,199 000,5,Oui,12,,2018,
468563,Audi Q8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468563/audi-q8-.html,2019,Automatique,Diesel,,,11-04-2025,Oui,109 000,5,Oui,12,,2019,
460383,Land Rover Range Rover Sport ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/460383/land-rover-range-rover-sport-.html,2021,Automatique,Diesel,,,11-04-2025,,74 000,5,Oui,12,,2021,
460498,Land Rover Range Rover Evoque ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/460498/land-rover-range-rover-evoque-.html,2021,Automatique,Diesel,,,11-04-2025,,44 000,5,Oui,8,,2021,
469532,Mercedes Benz Classe E ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469532/mercedes-benz-classe-e-.html,2020,Automatique,Diesel,,,11-04-2025,,59 000,5,,12,,2020,
466748,Mercedes Benz Classe C 220D Designo,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466748/mercedes-benz-classe-c-220d-designo.html,2019,Automatique,Diesel,Berline,Noir,11-04-2025,Oui,109 000,5,Oui,8,,2019,6 Mois
466753,Bmw Serie 7 30Ld Pack M,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466753/bmw-serie-7-30ld-pack-m.html,2016,Automatique,Diesel,Berline,,11-04-2025,Oui,109 000,5,Oui,12,,2016,6 Mois
466330,Dacia Duster Extreme,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/466330/dacia-duster-extreme.html,2022,Manuelle,Diesel,Suv et 4x4,,11-04-2025,,59 000,5,Oui,6,,2022,6 Mois
469194,Citroen C3 Shine,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469194/citroen-c3-shine.html,2022,Manuelle,Diesel,,,11-04-2025,,49 000,5,Oui,6,,2022,
468435,Hyundai Tucson Ultimate,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468435/hyundai-tucson-ultimate.html,2023,Automatique,Diesel,Suv et 4x4,,11-04-2025,,40 000,5,Oui,6,,,6 Mois
463064,Citroen C5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463064/citroen-c5-.html,2020,Automatique,Diesel,,,11-04-2025,,109 000,5,Oui,8,,2020,
467946,Volkswagen Tiguan ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467946/volkswagen-tiguan-.html,2018,Automatique,Diesel,,,11-04-2025,,119 000,5,Oui,8,,2018,
459411,Audi Q5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/459411/audi-q5-.html,2017,Automatique,Diesel,,,11-04-2025,,199 000,5,Oui,8,,2017,
457132,Porsche Cayenne ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457132/porsche-cayenne-.html,2013,Automatique,Essence,,,11-04-2025,Oui,149 000,5,Oui,28,,2013,
467635,Audi A6 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467635/audi-a6-.html,2025,Automatique,Diesel,,,11-04-2025,,24 000,5,Oui,8,,2025,
451526,Ford Autre ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/451526/ford-autre-.html,2021,Automatique,Diesel,,,11-04-2025,,49 000,5,Oui,8,,2021,
458956,Mercedes Benz Classe Gle ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458956/mercedes-benz-classe-gle-.html,2022,Automatique,Hybride,,,11-04-2025,Oui,119 000,5,Oui,11,,2022,
436504,Kia Picanto ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/436504/kia-picanto-.html,2022,Manuelle,Essence,,Autre,11-04-2025,,7 000,5,Oui,6,Oui,,
435902,Kia Picanto ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435902/kia-picanto-.html,2021,Manuelle,Essence,Break,Blanc,11-04-2025,,54 000,5,Oui,6,Oui,,
435903,Fiat 500 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/435903/fiat-500-.html,2022,Automatique,Essence,Break,Gris fonce,11-04-2025,,30 000,3,Oui,7,Oui,,
458517,Audi Q5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458517/audi-q5-.html,2015,Automatique,Diesel,Coupé,Gris clair,11-04-2025,,299 000,5,Oui,8,,2015,
458829,Toyota Yaris ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458829/toyota-yaris-.html,2019,Manuelle,Essence,,,11-04-2025,,84 000,5,Oui,6,,2019,
464234,Renault Clio ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464234/renault-clio-.html,2021,Manuelle,Diesel,,,11-04-2025,,94 000,,,6,,2021,
465261,Dacia Duster ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465261/dacia-duster-.html,2022,Manuelle,Diesel,,,11-04-2025,,109 000,5,,6,,2022,
463790,Seat Ateca ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463790/seat-ateca-.html,2017,Automatique,Diesel,,,11-04-2025,,119 000,5,Oui,8,,2017,
468579,Volkswagen Touareg ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468579/volkswagen-touareg-.html,2022,Automatique,Diesel,,,11-04-2025,,109 000,5,Oui,12,,2022,
469392,Mercedes Benz Classe Glc ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469392/mercedes-benz-classe-glc-.html,2024,Automatique,Electrique,,,11-04-2025,Oui,34 000,5,Oui,9,,2024,
463559,Land Rover Range Rover ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463559/land-rover-range-rover-.html,2019,Automatique,Diesel,,,11-04-2025,Oui,109 000,5,Oui,8,,2019,
457695,Mercedes Benz Classe Cla ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457695/mercedes-benz-classe-cla-.html,2021,Automatique,Essence,,,11-04-2025,Oui,64 000,5,Oui,11,,2021,
457699,Mercedes Benz Classe E ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457699/mercedes-benz-classe-e-.html,2018,Automatique,Diesel,,,11-04-2025,Oui,109 000,3,Oui,8,,2018,
457729,Abarth 595 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/457729/abarth-595-.html,2020,Automatique,Essence,,,11-04-2025,,34 000,,Oui,8,,2020,
465716,Chevrolet Suburban ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/465716/chevrolet-suburban-.html,2023,Automatique,Essence,,,11-04-2025,Oui,49 000,5,Oui,14,,2023,
463223,Bentley Continental Gt Gt,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463223/bentley-continental-gt-gt.html,2011,Automatique,Essence,,,11-04-2025,,39 000,3,Oui,31,,2011,
469122,Bentley Continental Gt ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469122/bentley-continental-gt-.html,2018,Automatique,Essence,,,11-04-2025,,74 000,3,Oui,27,,2018,
467633,Mercedes Benz Classe Cla ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467633/mercedes-benz-classe-cla-.html,2022,Automatique,Diesel,,,11-04-2025,,79 000,5,Oui,8,,2022,
