id,name,url,Année,Boite de vitesses,Carburant,Carrosserie,Couleur,Date,Importé neuf,Kilométrage,Nombre de portes,Première main,Puissance fiscale,Voiture personnalisée (tuning),Véhicule dédouané,Véhicule en garantie
467680,Jaguar F Type ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467680/jaguar-f-type-.html,2020,Automatique,Essence,,,11-04-2025,Oui,19 000,3,Oui,11,,2020,
467681,Audi A7 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467681/audi-a7-.html,2023,Automatique,Diesel,,,09-04-2025,,19 000,5,Oui,12,,2023,
467701,Peugeot 508 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467701/peugeot-508-.html,2024,Automatique,Diesel,,,11-04-2025,,4 000,5,Oui,6,,2024,
467711,Audi Q8 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/467711/audi-q8-.html,2025,Automatique,Diesel,,,11-04-2025,,4 000,3,Oui,12,,2025,
468482,Dacia Sandero ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468482/dacia-sandero-.html,2021,Manuelle,Diesel,,,11-04-2025,,119 000,5,,6,,2021,
464508,Nissan Qashqai ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464508/nissan-qashqai-.html,2020,Automatique,Diesel,,,11-04-2025,,139 000,5,Oui,6,,2020,
464017,Peugeot 2008 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/464017/peugeot-2008-.html,2022,Automatique,Diesel,,,10-04-2025,,64 000,5,Oui,6,,2022,
468426,Renault Clio ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/468426/renault-clio-.html,2021,Manuelle,Diesel,,,10-04-2025,,129 000,5,Oui,6,,2021,
463324,Audi Q5 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/463324/audi-q5-.html,2020,Automatique,Diesel,,,11-04-2025,,159 000,5,Oui,8,,2020,
458985,Volkswagen Arteon ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458985/volkswagen-arteon-.html,2019,Automatique,Diesel,,,11-04-2025,,169 000,5,Oui,8,,2019,
458989,Hyundai Elantra ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458989/hyundai-elantra-.html,2020,Manuelle,Diesel,,,11-04-2025,,109 000,5,Oui,6,,2020,
458993,Dacia Sandero ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458993/dacia-sandero-.html,2021,Manuelle,Diesel,,,11-04-2025,,109 000,5,Oui,6,,2021,
458995,Bmw X3 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458995/bmw-x3-.html,2020,Automatique,Diesel,,,11-04-2025,,149 000,5,Oui,8,,2020,
458996,Ds Autre Revoli,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/458996/ds-autre-revoli.html,2020,Automatique,Diesel,,,11-04-2025,,169 000,5,Oui,8,,2020,
418788,Volkswagen Passat 20,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418788/volkswagen-passat-20.html,2002,Manuelle,Essence,Coupé,Gris,11-04-2025,,199 000,5,,11,,2002,
418796,Peugeot 208 ,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418796/peugeot-208-.html,2016,Manuelle,Essence,Coupé,Gris clair,11-04-2025,Oui,94 000,3,,8,,2016,
418798,Chevrolet Captiva 20,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/418798/chevrolet-captiva-20.html,2008,Automatique,Diesel,Suv et 4x4,Noir,11-04-2025,,199 000,5,,8,,2008,
